Kalorien,Kohlenhydrate,Protein,Fett,Kalzium,Vitamin B12,Eisen,Jod,Vitamin C,Zink,Mehrfach-ungesättigte-Fettsäuren
537.9,59.495000000000005,11.41,27.71,442.545,1.0595,8.965000000000002,116.54500000000002,89.65,3.749,4.89
44.2,0.0,0.0055000000000000005,4.9990000000000006,0.05,nan,0.0,nan,0.0,0.0035000000000000005,3.39245
12.6,2.9592,0.2736,0.0648,10.799999999999999,nan,0.12240000000000001,nan,1.296,0.072,0.03204
40.68,8.3628,0.576,0.20879999999999999,7.92,nan,0.23399999999999999,0.864,8.6832,0.07919999999999999,0.072
36.0,8.3808,0.756,0.036,1.7999999999999998,nan,0.14759999999999998,nan,5.436,0.1188,0.015479999999999999
38.800000000000004,6.9,1.3,0.45,3.4000000000000004,0.0,0.61,0.33,0.0,0.31000000000000005,0.17
23.85,6.138000000000001,0.117,0.162,2.25,nan,0.0855,nan,0.09000000000000001,0.018000000000000002,0.0468
28.5,7.615,0.18,0.07,4.5,nan,0.09,nan,2.15,0.05,0.047
28.735335,6.55729875,0.31640625,0.137835,5.2604999999999995,nan,0.15291,nan,3.62655,0.038403,nan
7.949999999999999,2.046,0.039,0.054,0.75,nan,0.028499999999999998,nan,0.03,0.006,0.0156
